Data Till,Scheme,Component,TrainingType,TCState,TCDistrict,Enrolled,Trained,Assessed,Certified,Reported Placed
21-04-2022,PMKVY 3.0,CSCM,STT,Andhra Pradesh,Prakasam,1153,960,632,529,117
21-04-2022,PMKVY 3.0,CSSM,STT,Andhra Pradesh,Spsr Nellore,202,202,150,104,0
21-04-2022,PMKVY 3.0,CSCM,STT,Andhra Pradesh,Spsr Nellore,862,328,120,102,0
21-04-2022,PMKVY 3.0,CSCM,STT,Andhra Pradesh,Srikakulam,806,300,222,140,95
21-04-2022,PMKVY 3.0,CSSM,STT,Andhra Pradesh,Srikakulam,210,210,153,136,29
21-04-2022,PMKVY 3.0,CSCM,STT,Andhra Pradesh,Visakhapatanam,665,382,108,108,80
21-04-2022,PMKVY 3.0,CSSM,STT,Andhra Pradesh,Visakhapatanam,479,298,97,77,0
21-04-2022,PMKVY 3.0,CSCM,STT,Andhra Pradesh,Vizianagaram,460,120,108,100,80
21-04-2022,PMKVY 3.0,CSSM,STT,Andhra Pradesh,Vizianagaram,200,140,75,56,20
21-04-2022,PMKVY 3.0,CSCM,STT,Andhra Pradesh,West Godavari,634,300,178,153,118
21-04-2022,PMKVY 3.0,CSSM,STT,Andhra Pradesh,West Godavari,210,210,184,133,76
21-04-2022,PMKVY 3.0,CSCM,STT,Andhra Pradesh,Y.S.R,10,0,0,0,0
21-04-2022,PMKVY 3.0,CSSM,STT,Andhra Pradesh,Y.S.R,240,180,134,117,4
21-04-2022,PMKVY 3.0,CSCM,STT,Andhra Pradesh,Y.S.R,381,280,160,150,54
21-04-2022,PMKVY 2.0,CSCM,RPL,Arunachal Pradesh,Changlang,5134,5134,4773,4729,0
21-04-2022,PMKVY 2.0,CSCM,RPL,Arunachal Pradesh,Dibang Valley,249,195,192,192,0
21-04-2022,PMKVY 2.0,CSCM,RPL,Arunachal Pradesh,East Kameng,2000,2000,1617,1544,0
21-04-2022,PMKVY 2.0,CSCM,RPL,Arunachal Pradesh,East Siang,1022,1022,655,569,0
21-04-2022,PMKVY 2.0,CSCM,RPL,Arunachal Pradesh,Kra  Daadi,134,134,134,133,0
21-04-2022,PMKVY 2.0,CSCM,RPL,Arunachal Pradesh,Kurung Kumey,28,28,28,28,0
